鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,17.15,住,,,2023-04-22,土地35建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.69,2,2,1,有,無,23000000,198734,坡道平面,34.04,2600000,雨遮面積登記不計價,RPRNMLSJNHIGFBA77CB,萬錦,B棟B5-4F號,
萬華區,房地(土地+建物)+車位,臺北市萬華區青山里環河南路二段5巷1號,5.89,商,,,2023-04-12,土地12建物1車位1,十二層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,104.29,3,2,2,有,無,21680000,211242,其他,10.18,1800000,雨遮計坪不計價,RPSNMLSJNHIGFBA87CB,安家秀,A5棟12F號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,10.64,商,,,2023-04-15,土地25建物1車位1,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.42,3,2,2,有,無,40990000,275754,坡道平面,26.74,3300000,,RPPNMLSJNHIGFAA47CB,岳泰峰華,A2-20樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,10.38,商,,,2023-04-26,土地25建物1車位1,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.63,3,2,2,有,無,37800000,271649,其他,13.37,1600000,,RPQNMLSJNHIGFAA57CB,岳泰峰華,A3-14樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.41,商,,,2023-04-27,土地25建物1車位1,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.34,3,2,2,有,無,32730000,257337,其他,13.37,1600000,,RPRNMLSJNHIGFAA67CB,岳泰峰華,A7-15樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.6,商,,,2023-04-27,土地25建物1車位1,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.64,3,2,2,有,無,33450000,258376,其他,13.37,1600000,,RPSNMLSJNHIGFAA77CB,岳泰峰華,A4-16樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.39,商,,,2023-04-24,土地25建物1車位1,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.01,3,2,2,有,無,31520000,248011,其他,13.37,1600000,,RPUNMLSJNHIGFAA97CB,岳泰峰華,A1-8樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.83,商,,,2023-04-26,土地25建物1車位1,十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.2,2,2,1,有,無,25030000,266765,其他,13.37,1600000,,RPVNMLSJNHIGFAA08CB,岳泰峰華,A4-11樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.41,商,,,2023-04-23,土地25建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.34,3,2,2,有,無,31500000,247169,其他,13.37,1600000,,RPWNMLSJNHIGFAA18CB,岳泰峰華,A7-7樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-23,土地25建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2,2,1,有,無,23960000,285714,其他,13.37,1600000,,RPXNMLSJNHIGFAA28CB,岳泰峰華,A6-12樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-22,土地25建物1車位1,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2,2,1,有,無,24120000,287759,其他,13.37,1600000,,RPOOMLSJNHIGFAA47CB,岳泰峰華,A6-15樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.6,商,,,2023-04-22,土地25建物1車位1,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.64,3,2,2,有,無,33520000,258944,其他,13.37,1600000,,RPPOMLSJNHIGFAA57CB,岳泰峰華,A4-20樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.57,商,,,2023-04-22,土地25建物1車位1,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.32,3,2,2,有,無,33430000,258886,其他,13.37,1600000,,RPQOMLSJNHIGFAA67CB,岳泰峰華,A1-20樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.57,商,,,2023-04-22,土地25建物1車位1,二十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.32,3,2,2,有,無,33550000,259862,其他,13.37,1600000,,RPROMLSJNHIGFAA77CB,岳泰峰華,A1-21樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-22,土地25建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.65,2,2,1,有,無,23920000,285130,其他,13.37,1600000,,RPSOMLSJNHIGFAA87CB,岳泰峰華,A2-13樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-21,土地25建物1車位1,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.65,2,2,1,有,無,24010000,286280,其他,13.37,1600000,,RPTOMLSJNHIGFAA97CB,岳泰峰華,A2-15樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-21,土地25建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2,2,1,有,無,23820000,283925,其他,13.37,1600000,,RPUOMLSJNHIGFAA08CB,岳泰峰華,A6-10樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-21,土地25建物1車位1,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2,2,1,有,無,23740000,282903,其他,13.37,1600000,,RPVOMLSJNHIGFAA18CB,岳泰峰華,A6-9樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-21,土地25建物1車位1,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2,2,1,有,無,24100000,287503,其他,13.37,1600000,,RPWOMLSJNHIGFAA28CB,岳泰峰華,A6-14樓號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,2023-04-21,土地25建物1車位1,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.65,2,2,1,有,無,23850000,284236,其他,13.37,1600000,,RPXOMLSJNHIGFAA38CB,岳泰峰華,A2-12樓號,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,2023-04-21,土地11建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3,2,3,有,無,39300000,261025,坡道平面,31.25,2900000,,RPOPMLSJNHIGFAA57CB,綠意久康,A5-14F號,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,2023-05-02,土地11建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3,2,3,有,無,37320000,246827,坡道平面,31.25,2900000,,RPPPMLSJNHIGFAA67CB,綠意久康,A2-5F號,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.39,商,,,2023-04-25,土地25建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.01,3,2,2,有,無,31740000,249834,其他,13.37,1600000,,RPQPMLSJNHIGFAA77CB,岳泰峰華,A1-10樓號,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,2023-04-18,土地11建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3,2,3,有,無,38360000,252850,坡道平面,31.25,3100000,,RPRPMLSJNHIGFAA87CB,綠意久康,A2-8F號,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,2023-04-20,土地11建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3,22,3,有,無,38660000,257153,坡道平面,31.25,2800000,,RPSPMLSJNHIGFAA97CB,綠意久康,A2-11F號,
